#;Name;Market Cap;Price;Volume (24h);Circulating Supply;Change (24h)
57;Aeternity;$138,514,759;$0.514700;$38,583,689;269,117,246 AE;2.33%
58;IOST;$138,443,401;$0.011524;$34,019,302;12,013,965,609 IOST *;2.57%
59;GXChain;$137,618,434;$2.29;$24,466,913;60,000,000 GXC *;-0.22%
60;Dent;$137,178,489;$0.001904;$2,786,875;72,045,838,994 DENT *;4.12%
61;Steem;$136,880,950;$0.431785;$3,420,062;317,012,050 STEEM *;0.00%
62;Siacoin;$132,562,730;$0.003228;$1,706,496;41,062,534,347 SC;3.10%
63;MonaCoin;$131,118,153;$1.99;$13,622,776;65,729,675 MONA;-7.10%
64;Metaverse ETP;$128,783,099;$1.80;$107,584,468;71,555,773 ETP;4.32%
65;THETA;$124,171,876;$0.142644;$9,840,837;870,502,690 THETA *;1.31%
66;SOLVE;$124,043,543;$0.381533;$3,080,889;325,118,527 SOLVE *;-2.72%
67;Enjin Coin;$122,077,940;$0.158224;$11,482,376;771,551,985 ENJ *;1.30%
68;KuCoin Shares;$113,988,543;$1.27;$26,186,309;89,659,415 KCS *;14.27%
69;ThoreCoin;$107,663,518;$1,241.99;$77,426;86,686 THR *;4.78%
70;Maximine Coin;$106,630,786;$0.064664;$2,956,286;1,649,000,000 MXM *;17.89%
71;Ardor;$106,352,551;$0.106459;$2,291,658;998,999,495 ARDR *;4.97%
72;Status;$105,702,625;$0.030458;$21,495,441;3,470,483,788 SNT *;4.59%
73;Zcoin;$103,204,460;$13.41;$22,211,170;7,693,968 XZC;41.59%
74;Crypto;$103,039,707;$6.52;$11,885,478;15,793,831 MCO *;-1.00%
75;WAX;$102,756,228;$0.108992;$5,364,786;942,791,205 WAX *;11.28%
76;aelf;$101,269,416;$0.204448;$19,641,457;495,330,000 ELF *;1.08%
77;ABBC Coin;$98,507,704;$0.195034;$58,508,887;505,080,604 ABBC;-1.22%
78;Golem;$98,255,736;$0.101965;$3,536,742;963,622,000 GNT *;-0.40%
79;HyperCash;$97,645,880;$2.24;$6,365,790;43,529,781 HC;2.54%
80;HedgeTrade;$96,000,306;$0.333792;$321,253;287,605,170 HEDG *;12.66%
81;Stratis;$95,370,088;$0.959801;$2,033,721;99,364,461 STRAT *;1.63%
82;Waltonchain;$92,600,917;$2.22;$6,260,043;41,682,339 WTC *;1.03%
83;MaidSafeCoin;$89,243,524;$0.197200;$319,485;452,552,412 MAID *;6.26%
84;Insight Chain;$87,000,348;$0.248642;$3,154,497;349,902,689 INB *;-2.55%
85;Cryptonex;$86,135,219;$1.55;$14,250,523;55,686,329 CNX;4.67%
86;TrueChain;$84,595,651;$1.06;$70,675,981;79,575,543 TRUE *;7.94%
87;Mixin;$83,929,417;$186.86;$446,349;449,145 XIN *;1.03%
88;Dai;$83,383,813;$1.01;$47,954,184;82,525,834 DAI *;1.16%
89;VestChain;$79,772,125;$0.011270;$335,156;7,078,400,000 VEST *;3.23%
90;Nebulas;$77,785,973;$1.60;$30,123,743;48,627,715 NAS *;-7.99%
91;Egretia;$74,496,444;$0.018116;$29,994,372;4,112,180,714 EGT *;25.89%
92;Project Pai;$73,516,515;$0.050634;$2,477,871;1,451,907,787 PAI *;0.97%
93;Horizen;$71,351,467;$10.72;$5,180,318;6,653,850 ZEN;4.89%
94;Loom Network;$71,033,887;$0.089442;$4,979,871;794,189,334 LOOM *;4.83%
95;Ark;$69,602,789;$0.616914;$2,018,748;112,824,150 ARK *;0.99%
96;DigixDAO;$66,620,729;$33.31;$2,534,690;2,000,000 DGD *;4.37%
97;Decentraland;$63,887,889;$0.060837;$18,363,046;1,050,141,509 MANA *;5.88%
98;NULS;$63,695,266;$0.898246;$13,719,921;70,910,719 NULS;-0.52%
99;Nash Exchange;$63,377,062;$1.75;$991,886;36,196,678 NEX *;8.12%
100;Thunder Token;$62,469,198;$0.021527;$8,828,724;2,901,919,605 TT *;1.84%
101;Decentraland;$61,808,349;$0.058857;$17,860,036;1,050,141,509 MANA *;2.40%
104;Santiment Network Token;$59,967,301;$0.957021;$26,387;62,660,371 SAN *;5.24%
102;Aion;$61,416,076;$0.192864;$2,106,608;318,443,045 AION;0.43%
103;Populous;$60,240,084;$1.13;$4,668,422;53,252,246 PPT *;-0.94%
104;Santiment Network Token;$59,967,301;$0.957021;$26,387;62,660,371 SAN *;5.24%
105;Revain;$59,348,525;$0.122507;$2,349,616;484,450,000 R *;9.92%
106;Fantom;$58,760,280;$0.032399;$47,026,817;1,813,658,595 FTM *;-10.89%
107;Elastos;$58,528,602;$3.76;$6,465,318;15,561,163 ELA;5.29%
108;Orbs;$57,928,765;$0.035428;$2,707,401;1,635,091,511 ORBS *;2.65%
109;Factom;$57,662,507;$5.99;$549,705;9,628,941 FCT *;5.60%
110;ODEM;$57,402,076;$0.249652;$6,725,901;229,928,504 ODE *;7.51%
111;LATOKEN;$56,553,882;$0.148785;$5,513,018;380,104,462 LA *;14.53%
112;Nexo;$56,519,257;$0.100927;$5,743,662;560,000,011 NEXO *;6.13%
113;Celer Network;$55,616,986;$0.020268;$42,197,775;2,744,044,341 CELR *;5.08%
114;Clipper Coin;$53,252,932;$0.014105;$48,835;3,775,570,996 CCCX *;10.48%
115;Matic Network;$53,181,073;$0.024620;$57,194,814;2,160,114,068 MATIC *;0.35%
116;Energi;$52,206,517;$3.07;$408,641;17,025,210 NRG;12.18%
117;Theta Fuel;$51,972,777;$0.013541;$6,629,820;3,838,301,572 TFUEL *;0.85%
118;QASH;$51,795,016;$0.147986;$1,291,383;350,000,000 QASH *;-1.69%
119;ReddCoin;$51,778,678;$0.001797;$700,431;28,808,713,174 RDD *;6.21%
120;MOAC;$51,030,423;$0.816966;$17,923;62,463,334 MOAC *;4.01%
121;Power Ledger;$50,846,660;$0.124498;$2,479,355;408,412,067 POWR *;2.98%
122;WaykiChain;$50,006,719;$0.264586;$5,627,824;189,000,000 WICC *;3.27%
123;NEXT;$49,996,554;$0.994575;$6,756,212;50,269,268 NET *;-1.76%
124;Wanchain;$49,277,712;$0.464216;$3,050,084;106,152,493 WAN *;4.53%
125;Electroneum;$46,319,838;$0.004827;$404,438;9,595,702,884 ETN;5.40%
126;Fusion;$45,857,734;$1.40;$2,504,858;32,780,217 FSN *;9.38%
127;Grin;$45,715,434;$3.59;$25,901,526;12,735,180 GRIN;22.19%
128;Kyber Network;$45,590,976;$0.273949;$7,727,362;166,421,215 KNC *;2.85%
129;Bancor;$45,410,463;$0.740836;$4,685,960;61,296,230 BNT *;8.40%
130;Polymath;$43,897,201;$0.103354;$8,142,653;424,725,509 POLY *;0.24%
131;Storj;$43,547,182;$0.320701;$24,743,311;135,787,439 STORJ *;15.16%
132;Enigma;$43,146,524;$0.576546;$6,471,284;74,836,171 ENG *;11.40%
133;EDUCare;$43,037,821;$0.062694;$1,136,022;686,479,709 EKT *;11.78%
134;PIVX;$42,913,439;$0.755769;$4,821,362;56,781,166 PIVX *;-1.91%
135;Ignis;$41,588,084;$0.054639;$4,001,464;761,143,950 IGNIS *;-0.90%
136;FunFair;$40,959,424;$0.006254;$1,694,599;6,548,879,189 FUN *;-2.37%
137;Newton;$40,789,881;$0.003414;$14,827,183;11,948,333,332 NEW;-1.01%
138;Ether Zero;$40,343,522;$0.248086;$1,809,017;162,619,137 ETZ;6.01%
139;IPChain;$40,175,122;$0.518112;$2,696,869;77,541,407 IPC *;-6.92%
140;Metadium;$40,142,898;$0.032232;$7,783,427;1,245,430,304 META *;7.34%
141;Buggyra Coin Zero;$39,989,612;$0.019888;$29,237;2,010,775,988 BCZERO *;9.27%
142;Quant;$39,538,757;$4.04;$4,596,342;9,777,236 QNT *;8.88%
143;Bread;$39,151,009;$0.441218;$212,466;88,733,978 BRD *;1.37%
144;IoTeX;$38,440,130;$0.010983;$1,620,450;3,500,040,005 IOTX *;3.49%
145;Ecoreal Estate;$38,329,896;$0.183176;$29,243;209,251,825 ECOREAL *;-4.18%
146;QuarkChain;$38,305,233;$0.024248;$11,877,325;1,579,716,585 QKC *;-1.26%
147;REPO;$37,820,151;$0.343949;$41,707;109,958,607 REPO *;32.49%
148;Nxt;$37,654,600;$0.037692;$1,393,724;998,999,942 NXT *;7.03%
149;iExec RLC;$37,361,438;$0.466605;$1,020,384;80,070,793 RLC *;-0.79%
150;Lambda;$37,346,557;$0.074693;$22,905,282;500,000,000 LAMB *;-2.96%
151;Syscoin;$37,012,473;$0.066705;$322,285;554,866,901 SYS;4.47%
152;Veritaseum;$36,513,911;$16.99;$4,595,193;2,149,646 VERI *;-1.65%
153;Arcblock;$36,483,097;$0.370183;$6,619,494;98,554,305 ABT *;-1.59%
154;STASIS EURS;$36,141,195;$1.13;$379,891;31,979,207 EURS *;-0.31%
155;CasinoCoin;$35,884,193;$0.000925;$121,746;38,806,276,191 CSC *;5.06%
156;Synthetix Network Token;$35,364,448;$0.328413;$85,594;107,682,860 SNX *;2.88%
157;RIF Token;$35,225,778;$0.078636;$121,311;447,959,303 RIF *;8.39%
158;Ren;$35,051,326;$0.047100;$540,063;744,184,466 REN *;0.90%
159;Mithril;$34,792,897;$0.061106;$36,171,125;569,382,527 MITH *;16.88%
160;Digitex Futures;$34,284,157;$0.045632;$2,154,433;751,316,432 DGTX *;14.77%
161;TomoChain;$33,959,020;$0.564784;$1,338,014;60,127,450 TOMO;2.81%
162;Groestlcoin;$33,611,502;$0.462095;$6,891,328;72,737,154 GRS;3.45%
163;IoT Chain;$32,547,442;$0.424773;$5,548,081;76,623,149 ITC *;6.04%
164;Gas;$32,433,352;$3.20;$3,815,571;10,128,375 GAS *;3.69%
165;Cortex;$32,401,453;$0.216309;$9,690,114;149,792,458 CTXC *;2.44%
166;Civic;$31,194,548;$0.091026;$6,160,762;342,699,977 CVC *;0.56%
167;CRYPTO;$30,770,080;$0.760660;$6,292;40,451,831 C20 *;4.49%
168;Bibox Token;$30,650,265;$0.280092;$5,436,018;109,429,464 BIX *;-0.50%
169;Cred;$30,486,488;$0.056124;$8,542,012;543,198,862 LBA *;11.05%
170;TenX;$30,393,478;$0.265798;$1,470,030;114,347,861 PAY *;-0.23%
171;LTO Network;$29,877,843;$0.163752;$2,008,529;182,458,024 LTO *;10.17%
172;CyberMiles;$29,514,383;$0.036893;$6,776,319;800,000,000 CMT *;1.30%
173;Einsteinium;$29,180,511;$0.133422;$10,858,202;218,707,935 EMC2;5.86%
174;#MetaHash;$29,143,283;$0.024634;$420,719;1,183,062,050 MHC *;3.57%
175;Mainframe;$28,413,830;$0.003475;$2,953,542;8,177,678,762 MFT *;-0.50%
176;Centrality;$28,226,774;$0.034923;$1,347;808,268,621 CENNZ *;13.60%
177;SingularityNET;$27,907,989;$0.051713;$4,291,172;539,673,260 AGI *;7.22%
178;Cosmo Coin;$27,836,365;$0.041498;$4,296,924;670,780,889 COSM *;1.68%
179;Japan Content Token;$27,831,435;$0.094939;$35,722;293,150,782 JCT *;-5.22%
180;NKN;$27,513,523;$0.078610;$894,020;350,000,000 NKN *;11.52%
181;UGAS;$27,451,336;$0.160797;$785,038;170,720,374 UGAS *;4.29%
182;Cindicator;$27,119,356;$0.018755;$532,662;1,445,976,590 CND *;1.88%
183;Vertcoin;$26,995,194;$0.541165;$798,957;49,883,522 VTC;0.02%
184;Gnosis;$26,876,038;$24.33;$68,276;1,104,590 GNO *;-6.25%
185;MediBloc [ERC;$26,503,282;$0.007961;$6,502,811;3,329,143,806 MEDX *;4.79%
186;Metal;$26,473,970;$0.593776;$11,365,662;44,585,821 MTL *;-7.19%
187;Particl;$26,339,653;$3.26;$30,522;8,069,480 PART *;1.98%
188;INO COIN;$26,179,322;$1.31;$1,655,276;20,000,000 INO *;2.22%
189;Apollo Currency;$25,981,267;$0.001769;$2,125,530;14,685,096,531 APL *;-2.84%
190;RChain;$25,735,214;$0.068849;$13,759;373,789,868 RHOC *;18.09%
191;Obyte;$25,628,590;$36.43;$45,101;703,558 GBYTE *;2.62%
192;LINA;$25,590,903;$0.107658;$628,247;237,706,159 LINA *;4.95%
193;Eidoo;$25,543,762;$0.872949;$4,490,343;29,261,461 EDO *;4.44%
194;UTRUST;$25,257,178;$0.056127;$1,257,084;450,000,000 UTK *;0.64%
195;Skycoin;$25,088,438;$1.67;$660,171;15,000,000 SKY *;0.76%
196;Hyperion;$24,524,995;$0.077423;$500,651;316,765,917 HYN *;5.84%
197;BHPCoin;$24,429,058;$1.52;$10,288,188;16,085,384 BHP *;6.84%
198;PayPie;$24,381,532;$0.295534;$86,904;82,500,000 PPP *;3.71%
199;Iconomi;$24,369,405;$0.246329;$1,142;98,930,340 ICN *;3.51%
200;Contents Protocol;$24,315,237;$0.010448;$3,486,340;2,327,326,804 CPT *;-3.62%
